iter	Passed	Remaining
197	399	1627
198	550	2227
199	553	2226
200	554	2216
201	555	2205
202	556	2195
203	558	2189
204	559	2181
205	560	2171
206	562	2165
207	563	2154
208	563	2143
209	570	2158
210	572	2150
211	573	2143
212	574	2133
213	575	2123
214	576	2113
215	576	2103
216	577	2094
217	578	2085
218	583	2091
219	584	2082
220	589	2085
221	590	2077
222	591	2068
223	594	2070
224	595	2061
225	596	2052
226	598	2045
227	599	2037
228	600	2028
229	610	2054
230	612	2046
231	612	2036
232	613	2027
233	615	2022
234	616	2014
235	624	2028
236	626	2024
237	627	2018
238	628	2009
239	629	2001
240	630	1994
241	635	1997
242	639	2000
243	641	1995
244	642	1987
245	643	1979
246	700	2143
247	715	2179
248	726	2201
249	734	2211
250	743	2226
251	791	2357
252	796	2361
253	797	2352
254	798	2342
255	799	2333
256	804	2335
257	805	2325
258	806	2316
259	809	2312
260	810	2302
261	811	2293
262	812	2286
263	815	2281
264	816	2273
265	823	2282
266	825	2275
267	827	2267
268	828	2260
269	830	2252
270	830	2243
271	831	2234
272	832	2226
273	834	2219
274	835	2210
275	846	2228
276	847	2220
277	850	2217
278	851	2208
279	861	2222
280	864	2218
281	877	2242
282	878	2234
283	879	2225
284	904	2276
285	904	2267
286	909	2268
287	910	2259
288	912	2253
289	914	2247
290	915	2238
291	917	2233
292	971	2351
293	991	2389
294	999	2396
295	1051	2509
296	1052	2499
297	1053	2489
298	1054	2480
299	1056	2472
300	1057	2464
301	1060	2458
302	1061	2448
303	1068	2455
304	1069	2445
305	1071	2438
306	1072	2428
307	1073	2419
308	1074	2410
309	1075	2401
310	1076	2391
311	1077	2382
312	1078	2373
313	1080	2368
314	1081	2359
315	1083	2351
316	1083	2342
317	1084	2333
318	1085	2325
319	1087	2318
320	1088	2310
321	1095	2314
322	1098	2309
323	1099	2300
324	1100	2292
325	1105	2291
326	1105	2283
327	1106	2274
328	1107	2265
329	1108	2257
330	1110	2251
331	1112	2245
332	1177	2365
333	1178	2356
334	1180	2349
335	1180	2340
336	1181	2331
337	1182	2323
338	1183	2314
339	1188	2314
340	1189	2306
341	1191	2298
342	1196	2298
343	1197	2290
344	1198	2281
345	1199	2273
346	1201	2267
347	1202	2259
348	1203	2250
349	1204	2242
350	1204	2234
351	1206	2227
352	1223	2249
353	1228	2248
354	1229	2239
355	1235	2240
356	1238	2236
357	1241	2231
358	1241	2223
359	1242	2215
360	1246	2212
361	1247	2204
362	1248	2196
363	1249	2188
364	1249	2180
365	1250	2172
366	1251	2164
367	1252	2157
368	1253	2149
369	1254	2142
370	1255	2134
371	1256	2126
372	1256	2118
373	1257	2110
374	1260	2105
375	1261	2098
376	1262	2091
377	1262	2083
378	1263	2076
379	1264	2068
380	1265	2061
381	1266	2053
382	1266	2045
383	1267	2038
384	1268	2031
385	1269	2023
386	1269	2016
387	1270	2009
388	1272	2003
389	1273	1997
390	1280	1999
391	1282	1994
392	1283	1987
393	1284	1979
394	1284	1972
395	1284	1964
396	1285	1957
397	1286	1950
398	1287	1944
399	1288	1937
400	1289	1930
401	1289	1923
402	1290	1917
403	1291	1910
404	1292	1903
405	1293	1896
406	1294	1891
407	1295	1884
408	1296	1878
409	1297	1871
410	1298	1865
411	1299	1858
412	1300	1852
413	1301	1846
414	1301	1839
415	1302	1832
416	1302	1825
417	1303	1819
418	1304	1813
419	1305	1806
420	1306	1800
421	1307	1794
422	1308	1788
423	1308	1782
424	1309	1776
425	1310	1770
426	1328	1787
427	1332	1784
428	1333	1779
429	1334	1773
430	1335	1767
431	1336	1761
432	1337	1755
433	1338	1749
434	1338	1743
435	1339	1737
436	1340	1731
437	1341	1725
438	1342	1719
439	1343	1713
440	1344	1708
441	1346	1703
442	1346	1697
443	1347	1691
444	1348	1685
445	1350	1681
446	1351	1675
447	1352	1670
448	1353	1664
449	1353	1658
450	1354	1652
451	1365	1659
452	1366	1653
453	1398	1685
454	1399	1680
455	1400	1674
456	1401	1669
457	1403	1664
458	1404	1658
459	1405	1653
460	1406	1647
461	1407	1642
462	1411	1641
463	1412	1635
464	1413	1629
465	1414	1624
466	1415	1618
467	1415	1612
468	1416	1607
469	1417	1601
470	1417	1595
471	1418	1589
472	1418	1584
473	1419	1578
474	1419	1572
475	1420	1567
476	1421	1561
477	1421	1555
478	1422	1550
479	1422	1544
480	1423	1539
481	1424	1534
482	1424	1528
483	1425	1522
484	1425	1517
485	1426	1511
486	1427	1506
487	1427	1500
488	1428	1495
489	1428	1490
490	1429	1484
491	1430	1479
492	1430	1474
493	1431	1469
494	1432	1464
495	1432	1458
496	1433	1453
497	1433	1448
498	1434	1443
499	1434	1437
500	1435	1432
501	1435	1427
502	1436	1422
503	1437	1417
504	1437	1411
505	1438	1407
506	1439	1402
507	1439	1397
508	1440	1392
509	1440	1386
510	1441	1381
511	1441	1376
512	1442	1372
513	1443	1367
514	1443	1362
515	1444	1357
516	1445	1352
517	1445	1348
518	1446	1343
519	1447	1339
520	1450	1336
521	1456	1336
522	1471	1344
523	1471	1339
524	1474	1336
525	1475	1331
526	1475	1327
527	1476	1322
528	1488	1327
529	1489	1323
530	1490	1319
531	1491	1314
532	1492	1310
533	1493	1305
534	1495	1302
535	1496	1297
536	1496	1293
537	1497	1288
538	1498	1283
539	1498	1279
540	1499	1274
541	1499	1269
542	1500	1265
543	1501	1261
544	1502	1256
545	1503	1252
546	1504	1248
547	1504	1243
548	1505	1239
549	1506	1234
550	1506	1229
551	1507	1225
552	1508	1221
553	1509	1217
554	1509	1212
555	1510	1208
556	1511	1204
557	1513	1200
558	1515	1197
559	1515	1193
560	1516	1188
561	1516	1184
562	1517	1179
563	1517	1175
564	1518	1171
565	1519	1166
566	1519	1162
567	1520	1158
568	1520	1154
569	1521	1149
570	1522	1145
571	1522	1141
572	1523	1137
573	1523	1133
574	1524	1128
575	1525	1124
576	1526	1120
577	1526	1116
578	1527	1112
579	1527	1108
580	1528	1104
581	1529	1100
582	1529	1096
583	1530	1091
584	1530	1087
585	1531	1083
586	1531	1079
587	1532	1075
588	1533	1071
589	1533	1067
590	1534	1063
591	1534	1059
592	1535	1055
593	1536	1051
594	1537	1047
595	1537	1044
596	1538	1040
597	1538	1036
598	1539	1032
599	1540	1028
600	1540	1024
601	1541	1020
602	1541	1016
603	1542	1012
604	1543	1009
605	1543	1005
606	1544	1001
607	1544	997
608	1545	993
609	1545	989
610	1546	986
611	1547	982
612	1547	978
613	1548	974
614	1549	971
615	1549	967
616	1550	963
617	1550	959
618	1550	956
619	1551	952
620	1551	948
621	1552	944
622	1552	941
623	1553	937
624	1554	934
625	1555	930
626	1556	927
627	1557	923
628	1563	923
629	1566	921
630	1577	924
631	1578	920
632	1580	918
633	1581	914
634	1582	911
635	1583	907
636	1584	904
637	1585	901
638	1586	897
639	1587	894
640	1588	890
641	1588	887
642	1589	883
643	1590	880
644	1590	876
645	1591	873
646	1591	869
647	1592	866
648	1592	862
649	1593	859
650	1593	855
651	1594	852
652	1596	849
653	1596	846
654	1597	842
655	1598	839
656	1598	835
657	1599	832
658	1599	829
659	1600	825
660	1601	822
661	1603	820
662	1605	817
663	1607	814
664	1608	811
665	1609	808
666	1610	805
667	1611	802
668	1612	798
669	1612	795
670	1613	792
671	1614	789
672	1615	785
673	1615	782
674	1616	779
675	1618	776
676	1619	773
677	1619	770
678	1620	767
679	1621	764
680	1622	760
681	1622	757
682	1623	754
683	1625	751
684	1626	748
685	1626	745
686	1627	742
687	1628	739
688	1628	736
689	1629	733
690	1632	731
691	1634	728
692	1636	725
693	1637	723
694	1638	720
695	1644	719
696	1645	716
697	1648	714
698	1649	711
699	1650	708
700	1651	705
701	1651	702
702	1652	699
703	1653	696
704	1665	697
705	1667	695
706	1668	692
707	1669	689
708	1672	687
709	1673	684
710	1674	681
711	1674	678
712	1675	675
713	1676	672
714	1677	669
715	1678	666
716	1678	663
717	1679	660
718	1680	657
719	1681	654
720	1682	651
721	1682	648
722	1683	645
723	1683	642
724	1684	639
725	1685	637
726	1686	634
727	1687	631
728	1688	628
729	1688	625
730	1689	622
731	1689	619
732	1690	616
733	1691	613
734	1692	611
735	1693	608
736	1693	605
737	1694	602
738	1695	599
739	1695	596
740	1696	593
741	1697	591
742	1698	588
743	1699	585
744	1699	582
745	1700	579
746	1701	576
747	1702	574
748	1702	571
749	1702	568
750	1711	568
751	1714	566
752	1715	563
753	1716	560
754	1717	557
755	1718	555
756	1719	552
757	1722	550
758	1724	548
759	1725	545
760	1726	542
761	1727	540
762	1728	537
763	1729	534
764	1730	532
765	1731	529
766	1731	526
767	1732	524
768	1736	522
769	1756	525
770	1757	522
771	1757	519
772	1762	518
773	1762	515
774	1763	512
775	1764	510
776	1765	507
777	1766	504
778	1767	502
779	1769	499
780	1770	497
781	1771	494
782	1771	491
783	1774	489
784	1776	487
785	1777	484
786	1778	481
787	1778	479
788	1779	476
789	1780	473
790	1781	471
791	1782	468
792	1783	466
793	1784	463
794	1784	460
795	1785	458
796	1786	455
797	1788	453
798	1789	450
799	1790	448
800	1791	445
801	1791	442
802	1792	440
803	1793	437
804	1794	435
805	1795	432
806	1796	430
807	1797	427
808	1798	425
809	1798	422
810	1799	419
811	1800	417
812	1802	415
813	1803	412
814	1804	410
815	1805	407
816	1805	405
817	1806	402
818	1807	399
819	1808	397
820	1809	394
821	1811	392
822	1813	390
823	1815	388
824	1819	386
825	1821	384
826	1822	381
827	1823	379
828	1825	376
829	1825	374
830	1826	371
831	1827	369
832	1827	366
833	1828	364
834	1829	361
835	1829	359
836	1831	357
837	1832	354
838	1836	352
839	1836	350
840	1837	347
841	1838	345
842	1839	342
843	1840	340
844	1840	338
845	1841	335
846	1842	333
847	1842	330
848	1844	328
849	1844	325
850	1845	323
851	1846	321
852	1846	318
853	1847	316
854	1848	313
855	1849	311
856	1849	309
857	1850	306
858	1852	304
859	1852	301
860	1853	299
861	1853	297
862	1856	294
863	1856	292
864	1857	290
865	1858	287
866	1858	285
867	1859	283
868	1860	280
869	1860	278
870	1861	275
871	1862	273
872	1863	271
873	1864	269
874	1864	266
875	1865	264
876	1866	262
877	1866	259
878	1867	257
879	1868	255
880	1870	252
881	1871	250
882	1871	248
883	1872	246
884	1873	243
885	1873	241
886	1874	239
887	1875	236
888	1877	234
889	1878	232
890	1878	230
891	1879	227
892	1880	225
893	1880	223
894	1881	220
895	1882	218
896	1882	216
897	1883	214
898	1884	211
899	1887	210
900	1889	207
901	1890	205
902	1892	203
903	1892	201
904	1893	198
905	1893	196
906	1894	194
907	1894	192
908	1895	189
909	1895	187
910	1896	185
911	1896	183
912	1897	180
913	1898	178
914	1898	176
915	1899	174
916	1899	172
917	1901	170
918	1901	167
919	1902	165
920	1903	163
921	1903	161
922	1904	159
923	1905	156
924	1906	154
925	1906	152
926	1907	150
927	1908	148
928	1909	146
929	1909	143
930	1910	141
931	1911	139
932	1912	137
933	1912	135
934	1913	133
935	1914	131
936	1915	128
937	1916	126
938	1916	124
939	1918	122
940	1919	120
941	1919	118
942	1920	116
943	1920	114
944	1921	111
945	1922	109
946	1922	107
947	1923	105
948	1924	103
949	1925	101
950	1926	99
951	1926	97
952	1927	95
953	1928	93
954	1929	91
955	1929	88
956	1930	86
957	1930	84
958	1932	82
959	1933	80
960	1934	78
961	1934	76
962	1935	74
963	1935	72
964	1936	70
965	1936	68
966	1937	66
967	1938	64
968	1938	62
969	1939	60
970	1940	58
971	1940	55
972	1941	53
973	1942	51
974	1942	49
975	1943	47
976	1943	45
977	1944	43
978	1944	41
979	1945	39
980	1947	37
981	1948	35
982	1948	33
983	1949	31
984	1949	29
985	1950	27
986	1951	25
987	1951	23
988	1952	21
989	1952	19
990	1953	17
991	1953	15
992	1954	13
993	1954	11
994	1955	9
995	1955	7
996	1956	5
997	1957	3
998	1958	1
999	1958	0
